slide,species,tissue
GSE245388_GSM7841732,human,prostate
GSE245388_GSM7841733,human,prostate
GSE245388_GSM7841734,human,prostate
GSE248356_GSM7911966,mouse,melanoma
GSE248356_GSM7911967,mouse,melanoma
GSE248356_GSM7911968,mouse,melanoma
GSE248646_GSM7918345,rattus norvegicus,tendon
GSE248646_GSM7918346,rattus norvegicus,tendon
GSE249729_GSM7962127,human,skin
GSE249729_GSM7962128,human,skin
GSE249729_GSM7962129,human,skin
GSE251693_GSM7986081,human,colon
GSE251693_GSM7986082,human,colon
GSE251950_GSM7990473,human,stomach
GSE251950_GSM7990474,human,stomach
GSE251950_GSM7990475,human,stomach
GSE251950_GSM7990476,human,stomach
GSE251950_GSM7990477,human,stomach
GSE251950_GSM7990478,human,stomach
GSE251950_GSM7990479,human,stomach
GSE251950_GSM7990480,human,stomach
GSE251950_GSM7990481,human,stomach
GSE251950_GSM7990482,human,stomach
GSE254364_GSM8041061,human,liver
GSE254364_GSM8041062,human,liver
GSE254652_GSM8047864,mouse,spleen
GSE254652_GSM8047865,mouse,spleen
GSE254652_GSM8047866,mouse,spleen
GSE254652_GSM8047867,mouse,spleen
GSE254652_GSM8047868,mouse,spleen
GSE254652_GSM8047869,mouse,spleen
GSE254652_GSM8047870,mouse,spleen
GSE254652_GSM8047871,mouse,spleen
GSE254652_GSM8047872,mouse,spleen
GSE254652_GSM8047873,mouse,spleen
GSE254652_GSM8047874,mouse,spleen
GSE254652_GSM8047875,mouse,spleen
GSE254652_GSM8047876,mouse,spleen
GSE254652_GSM8047877,mouse,spleen
GSE254652_GSM8047878,mouse,spleen
GSE254652_GSM8047879,mouse,spleen
GSE254652_GSM8047880,mouse,spleen
GSE254652_GSM8047881,mouse,spleen
GSE254652_GSM8047882,mouse,spleen
GSE254652_GSM8047883,mouse,spleen
GSE254652_GSM8047884,mouse,spleen
GSE254652_GSM8047885,mouse,spleen
GSE254652_GSM8047886,mouse,spleen
GSE254829_GSM8058242,human,pancreas
GSE254829_GSM8058243,human,pancreas
GSE254829_GSM8058244,human,pancreas
GSE254829_GSM8058245,human,pancreas
GSE254829_GSM8058246,human,pancreas
GSE254829_GSM8058247,human,pancreas
GSE254829_GSM8058248,human,pancreas
GSE254829_GSM8058249,human,pancreas
GSE254829_GSM8058250,human,pancreas
GSE254829_GSM8058251,human,pancreas
GSE254829_GSM8058252,human,pancreas
GSE254829_GSM8058253,human,pancreas
GSE254829_GSM8058254,human,pancreas
GSE254829_GSM8058255,human,pancreas
GSE259363_GSM8114827,mouse,liver
GSE259363_GSM8114828,mouse,liver
GSE259363_GSM8114829,mouse,liver
GSE259363_GSM8114830,mouse,liver
Human_Brain+Kidney_10X_02212023_Visium,human,brain+kidney
Human_Brain_10X_02132023_Visium,human,brain
Human_Brain_10X_10272020_Visium_Cerebellum_WholeTranscriptome,human,brain
Human_Brain_10X_10272020_Visium_WholeTranscriptome,human,brain
Human_Brain_Kwon_10162023_Visium_V10A27004_A1_Br3874,human,brain
Human_Brain_Kwon_10162023_Visium_V10A27004_D1_Br3880,human,brain
Human_Brain_Kwon_10162023_Visium_V10A27106_A1_Br3874,human,brain
Human_Brain_Kwon_10162023_Visium_V10A27106_B1_Br3854,human,brain
Human_Brain_Kwon_10162023_Visium_V10A27106_C1_Br3873,human,brain
Human_Brain_Kwon_10162023_Visium_V10A27106_D1_Br3880,human,brain
Human_Brain_Kwon_10162023_Visium_V10T31036_A1_Br3874,human,brain
Human_Brain_Kwon_10162023_Visium_V10T31036_B1_Br3854,human,brain
Human_Brain_Kwon_10162023_Visium_V10T31036_C1_Br3873,human,brain
Human_Brain_Kwon_10162023_Visium_V10T31036_D1_Br3880,human,brain
Human_Brain_Louise_02152023_Visium_Br2720_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br2720_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br2720_post,human,brain
Human_Brain_Louise_02152023_Visium_Br2743_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br2743_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br2743_post,human,brain
Human_Brain_Louise_02152023_Visium_Br3942_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br3942_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br3942_post,human,brain
Human_Brain_Louise_02152023_Visium_Br6423_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br6423_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br6423_post,human,brain
Human_Brain_Louise_02152023_Visium_Br6432_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br6432_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br6432_post,human,brain
Human_Brain_Louise_02152023_Visium_Br6471_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br6471_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br6471_post,human,brain
Human_Brain_Louise_02152023_Visium_Br6522_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br6522_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br6522_post,human,brain
Human_Brain_Louise_02152023_Visium_Br8325_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br8325_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br8325_post,human,brain
Human_Brain_Louise_02152023_Visium_Br8492_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br8492_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br8492_post,human,brain
Human_Brain_Louise_02152023_Visium_Br8667_ant,human,brain
Human_Brain_Louise_02152023_Visium_Br8667_mid,human,brain
Human_Brain_Louise_02152023_Visium_Br8667_post,human,brain
Human_Breast_10X_02132023_Visium,human,breast
Human_Breast_10X_06092021_Visium,human,breast
Human_Breast_10X_06232020_Visium_Block_A_Section_1,human,breast
Human_Breast_10X_06232020_Visium_Block_A_Section_2,human,breast
Human_Breast_10X_07012022_Visium,human,breast
Human_Breast_10X_10272020_Visium_WholeTranscriptome,human,breast
Human_Breast_Wu_06052021_Visium_1142243F,human,breast
Human_Breast_Wu_06052021_Visium_1160920F,human,breast
Human_Breast_Wu_06052021_Visium_CID4465,human,breast
Human_Breast_Wu_06052021_Visium_CID44971,human,breast
Human_Breast_Wu_06052021_Visium_CID4535,human,breast
Human_Cerebellum_10X_07122022_Visium,human,cerebellum
Human_Cervix_10X_03282022_Visium,human,cervix
Human_Colon_10X_10052023_Visium_control_rep1,human,colon
Human_Colon_10X_10052023_Visium_control_rep2,human,colon
Human_Colon_10X_10052023_Visium_post_xenium_rep1,human,colon
Human_Colon_10X_10052023_Visium_post_xenium_rep2,human,colon
Human_Colorectal_10X_02132023_Visium,human,colorectal
Human_Heart_10X_06232020_Visium,human,heart
Human_Heart_Kuppe_10082022_Visium_AKK001_157785,human,heart
Human_Heart_Kuppe_10082022_Visium_AKK002_157779,human,heart
Human_Heart_Kuppe_10082022_Visium_AKK002_157781,human,heart
Human_Heart_Kuppe_10082022_Visium_AKK002_157782,human,heart
Human_Heart_Kuppe_10082022_Visium_AKK003_157775,human,heart
Human_Heart_Kuppe_10082022_Visium_AKK003_157777,human,heart
Human_Heart_Kuppe_10082022_Visium_AKK004_157772,human,heart
Human_Heart_Kuppe_10082022_Visium_AKK006_157771,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_10_CK288,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_11_CK289,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_12_CK290,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_13_CK291,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_14_CK292,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_15_CK293,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_16_CK294,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_17_CK295,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_18_CK296,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_19_CK297,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_1_CK279,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_20_CK298,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_2_CK280,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_3_CK281,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_4_CK282,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_5_CK283,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_6_CK284,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_7_CK285,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_8_CK286,human,heart
Human_Heart_Kuppe_10082022_Visium_Visium_9_CK287,human,heart
Human_Kidney_10X_02132023_Visium,human,kidney
Human_LargeIntestine_10X_03282022_Visium,human,largeintestine
Human_LargeIntestine_10X_10272020_Visium_WholeTranscriptome,human,largeintestine
Human_Lung_10X_02132023_Visium,human,lung
Human_Lung_10X_07132022_Visium,human,lung
Human_Ovary_10X_03282022_Visium,human,ovary
Human_Ovary_10X_07142022_Visium,human,ovary
Human_Prostate_10X_06092021_Visium_cancer,human,prostate
Human_Prostate_10X_06092021_Visium_normal,human,prostate
Human_Prostate_10X_07122022_Visium,human,prostate
Human_Prostate_10X_10082021_Visium,human,prostate
Mouse_Brain+Lung_10X_02212023_Visium_1mm_edge,mouse,brain+lung
Mouse_Brain+Lung_10X_02212023_Visium_2mm_edge,mouse,brain+lung
Mouse_Brain_10X_01062023_Visium,mouse,brain
Mouse_Brain_10X_03292022_Visium,mouse,brain
Mouse_Brain_10X_05252023_Visium,mouse,brain
Mouse_Brain_10X_06082023_Visium_FFPE_Sagittal_Mouse_Brain,mouse,brain
Mouse_Brain_10X_06082023_Visium_Fixed_Frozen_Sagittal_Mouse_Brain,mouse,brain
Mouse_Brain_10X_06082023_Visium_Fresh_Frozen_Sagittal_Mouse_Brain,mouse,brain
Mouse_Brain_10X_06232020_Visium_Coronal,mouse,brain
Mouse_Brain_10X_06232020_Visium_Sagittal_Anterior_Section_1,mouse,brain
Mouse_Brain_10X_06232020_Visium_Sagittal_Anterior_Section_2,mouse,brain
Mouse_Brain_10X_06232020_Visium_Sagittal_Posterior_Section_1,mouse,brain
Mouse_Brain_10X_06232020_Visium_Sagittal_Posterior_Section_2,mouse,brain
Mouse_Brain_10X_07122022_Visium_Sagittal_Anterior_Section_2,mouse,brain
Mouse_Brain_10X_07122022_Visium_Sagittal_Posterior_Section_2,mouse,brain
Mouse_Brain_10X_07132022_Visium_coronal_sec1,mouse,brain
Mouse_Brain_10X_07132022_Visium_coronal_sec2,mouse,brain
Mouse_Brain_10X_08162021_Visium,mouse,brain
Mouse_Brain_10X_10052023_Visium_control_rep1,mouse,brain
Mouse_Brain_10X_10052023_Visium_control_rep2,mouse,brain
Mouse_Brain_10X_10052023_Visium_post_xenium_rep1,mouse,brain
Mouse_Brain_10X_10052023_Visium_post_xenium_rep2,mouse,brain
Mouse_Brain_10X_10182022_Visium,mouse,brain
Mouse_Embryo_10X_05252023_Visium,mouse,embryo
Mouse_Embryo_10X_07142022_Visium,mouse,embryo
Mouse_Kidney_10X_06232020_Visium,mouse,kidney
Mouse_Kidney_10X_08162021_Visium,mouse,kidney
Mouse_OlfactoryBulb_10X_03242022_Visium,mouse,olfactory bulb
TENX152,human,bowel
ZEN81,Mus musculus,skin
ZEN80,Mus musculus,skin
ZEN79,Mus musculus,skin
ZEN78,Mus musculus,skin
MISC142,human,heart
MISC141,human,heart
MISC140,human,heart
MISC139,human,heart
MISC138,human,heart
MISC136,human,heart
MISC135,human,heart
MISC134,human,heart
MISC133,human,heart
MISC132,human,heart
MISC131,human,heart
MISC130,human,heart
MISC129,human,heart
MISC128,human,heart
MISC127,human,heart
MISC126,human,heart
MISC125,human,heart
MISC124,human,heart
MISC123,human,heart
MISC122,human,heart
MISC121,human,heart
MISC120,human,heart
MISC119,human,heart
MISC118,human,heart
MISC117,human,heart
MISC116,human,heart
MISC115,human,heart
MISC114,human,heart
MISC113,human,heart
MISC112,human,heart
MISC111,human,heart
MISC110,human,heart
MISC109,human,heart
MISC108,human,heart
MISC107,human,heart
MISC106,human,heart
MISC105,human,heart
MISC104,human,heart
MISC103,human,heart
MISC102,human,heart
MISC101,human,heart
MISC73,human,bowel
MISC72,human,bowel
MISC71,human,bowel
MISC70,human,bowel
MISC69,human,bowel
MISC68,human,bowel
MISC67,human,bowel
MISC66,human,bowel
MISC65,human,bowel
MISC64,human,bowel
MISC63,human,bowel
MISC62,human,bowel
MISC61,human,bowel
MISC60,human,bowel
MISC59,human,bowel
MISC58,human,bowel
MISC57,human,bowel
MISC56,human,bowel
MISC55,human,bowel
MISC54,human,bowel
MISC53,human,bowel
MISC52,human,bowel
MISC51,human,bowel
MISC50,human,bowel
MISC49,human,bowel
MISC48,human,bowel
MISC47,human,bowel
MISC46,human,bowel
MISC45,human,bowel
MISC44,human,bowel
MISC43,human,bowel
MISC42,human,bowel
MISC41,human,bowel
MISC40,human,bowel
MISC39,human,bowel
MISC38,human,bowel
MISC37,human,bowel
MISC36,human,bowel
MISC35,human,bowel
MISC34,human,bowel
MISC33,human,bowel
TENX92,human,bowel
TENX91,human,bowel
TENX90,human,bowel
TENX89,human,bowel
TENX88,Mus musculus,brain
TENX87,Mus musculus,brain
TENX86,Mus musculus,brain
TENX85,Mus musculus,brain
TENX84,Mus musculus,brain
TENX83,Mus musculus,brain
TENX82,Mus musculus,brain
TENX81,Mus musculus,embryo
TENX80,Mus musculus,brain
TENX79,Mus musculus,brain
TENX78,Mus musculus,brain
TENX77,Mus musculus,brain
TENX76,Mus musculus,lung/brain
TENX75,Mus musculus,kidney/brain
TENX74,Mus musculus,lung/brain
TENX73,human,brain
TENX72,human,lung
TENX71,human,kidney
TENX70,human,bowel
TENX69,Mus musculus,brain
TENX68,human,breast
TENX67,Mus musculus,brain
TENX65,human,ovary
TENX62,human,lung
TENX61,Mus musculus,brain
TENX60,Mus musculus,brain
TENX58,Mus musculus,brain
TENX56,human,brain
TENX55,Mus musculus,brain
TENX54,Mus musculus,brain
TENX53,human,breast
TENX52,Mus musculus,brain
TENX51,human,ovary
TENX50,human,cervix
TENX49,human,bowel
TENX46,human,prostate
TENX45,Mus musculus,kidney
TENX43,Mus musculus,brain
TENX41,human,prostate
TENX40,human,prostate
TENX39,human,breast
TENX31,human,brain
TENX30,human,brain
TENX29,human,bowel
TENX28,human,bowel
TENX27,human,brain
TENX24,human,breast
TENX23,human,breast
TENX22,Mus musculus,kidney
TENX19,Mus musculus,brain
TENX18,Mus musculus,brain
TENX16,human,lymph node
TENX15,human,heart
TENX14,human,breast
TENX13,human,breast
ZEN65,Mus musculus,skin
ZEN61,Mus musculus,brain
ZEN60,Mus musculus,brain
ZEN49,human,bowel
ZEN48,human,bowel
ZEN47,human,bowel
ZEN46,human,bowel
ZEN45,human,bowel
ZEN44,human,bowel
ZEN43,human,bowel
ZEN42,human,bowel
ZEN41,human,bowel
ZEN40,human,bowel
ZEN39,human,bowel
ZEN38,human,bowel
ZEN37,human,bowel
ZEN36,human,bowel
INT35,human,prostate
INT28,human,prostate
INT27,human,prostate
INT26,human,prostate
INT25,human,prostate
INT24,human,kidney
INT23,human,kidney
INT22,human,kidney
INT21,human,kidney
INT20,human,kidney
INT19,human,kidney
INT18,human,kidney
INT17,human,kidney
INT16,human,kidney
INT15,human,kidney
INT14,human,kidney
INT13,human,kidney
INT12,human,kidney
INT11,human,kidney
INT10,human,kidney
INT9,human,kidney
INT8,human,kidney
INT7,human,kidney
INT6,human,kidney
INT5,human,kidney
INT4,human,kidney
INT3,human,kidney
INT2,human,kidney
INT1,human,kidney
MEND162,human,prostate
MEND161,human,prostate
MEND160,human,prostate
MEND159,human,prostate
MEND158,human,prostate
MEND157,human,prostate
MEND156,human,prostate
MEND154,human,prostate
MEND153,human,prostate
MEND152,human,prostate
MEND151,human,prostate
MEND150,human,prostate
MEND149,human,prostate
MEND148,human,prostate
MEND147,human,prostate
MEND146,human,prostate
MEND145,human,prostate
MEND144,human,prostate
MEND143,human,prostate
MEND142,human,prostate
MEND141,human,prostate
MEND140,human,prostate
MEND139,human,prostate
MEND131,Mus musculus,brain
MEND130,Mus musculus,brain
MEND129,Mus musculus,brain
MEND124,Mus musculus,brain
MEND123,Mus musculus,brain
MEND96,human,bowel
MEND95,human,bowel
MEND93,human,bowel
MEND92,human,bowel
MEND91,human,bowel
MEND90,human,lung
MEND89,human,lung
MEND88,human,lung
MEND87,human,lung
MEND86,human,lung
MEND85,human,lung
MEND84,Mus musculus,bone
MEND83,Mus musculus,bone
MEND82,Mus musculus,bone
MEND81,Mus musculus,bone
MEND80,Mus musculus,bone
MEND79,Mus musculus,bone
MEND78,Mus musculus,brain
MEND77,Mus musculus,brain
MEND76,Mus musculus,brain
MEND75,Mus musculus,brain
MEND74,Mus musculus,brain
MEND73,Mus musculus,brain
MEND72,Mus musculus,brain
MEND71,Mus musculus,brain
MEND68,human,brain
MEND67,human,brain
MEND66,human,brain
MEND65,human,brain
MEND64,human,brain
MEND63,human,brain
MEND62,human,prostate
MEND61,human,prostate
MEND60,human,prostate
MEND59,human,prostate
MEND55,Mus musculus,brain
MEND54,human,kidney
MEND53,Mus musculus,brain
MEND52,human,lung
MEND51,human,lung
MEND50,Mus musculus,brain
MEND49,human,kidney
MEND48,human,kidney
MEND47,human,lung
MEND46,Mus musculus,brain
MEND45,human,lung
MEND44,Mus musculus,brain
MEND43,Mus musculus,brain
MEND42,Mus musculus,brain
MEND41,human,lung
MEND40,human,skin
MEND39,human,skin
MEND38,human,skin
MEND37,human,skin
MEND36,human,bowel
MEND35,human,bowel
MEND34,human,bowel
MEND33,human,bowel
MEND32,Mus musculus,bowel
MEND31,Mus musculus,bowel
MEND30,Mus musculus,bowel
MEND29,Mus musculus,bowel
MEND28,Mus musculus,heart
MEND27,Mus musculus,heart
MEND26,Mus musculus,heart
MEND25,Mus musculus,heart
NCBI855,human,bladder
NCBI854,human,bladder
NCBI844,Mus musculus,liver
NCBI843,Mus musculus,liver
NCBI842,Mus musculus,liver
NCBI841,Mus musculus,liver
NCBI840,Mus musculus,liver
NCBI839,Mus musculus,liver
NCBI838,Mus musculus,liver
NCBI837,Mus musculus,liver
NCBI836,Mus musculus,liver
NCBI835,Mus musculus,liver
NCBI834,Mus musculus,liver
NCBI833,human,liver
NCBI832,human,liver
NCBI831,human,liver
NCBI830,human,liver
NCBI829,human,liver
NCBI828,human,liver
NCBI827,human,liver
NCBI826,human,liver
NCBI809,Mus musculus,brain
NCBI808,Mus musculus,brain
NCBI807,Mus musculus,brain
NCBI806,Mus musculus,brain
NCBI802,Mus musculus,brain
NCBI801,Mus musculus,brain
NCBI800,Mus musculus,brain
NCBI799,Mus musculus,brain
NCBI796,Mus musculus,muscle
NCBI795,Mus musculus,muscle
NCBI794,Mus musculus,muscle
NCBI793,Mus musculus,prostate
NCBI792,Mus musculus,prostate
NCBI791,Mus musculus,placenta
NCBI790,Mus musculus,uterus
NCBI789,Mus musculus,uterus
NCBI788,Mus musculus,uterus
NCBI822,Mus musculus,uterus
NCBI823,Mus musculus,uterus
NCBI824,Mus musculus,uterus
NCBI825,Mus musculus,uterus
NCBI787,Mus musculus,heart
NCBI786,Mus musculus,heart
NCBI776,human,breast
NCBI771,human,eye
NCBI729,Mus musculus,bowel
NCBI728,Mus musculus,bowel
NCBI727,Mus musculus,lung
NCBI720,Mus musculus,brain
NCBI719,Mus musculus,brain
NCBI718,Mus musculus,brain
NCBI717,Mus musculus,brain
NCBI716,Mus musculus,brain
NCBI715,Mus musculus,brain
NCBI714,human,kidney
NCBI713,human,kidney
NCBI712,human,kidney
NCBI711,human,kidney
NCBI710,human,kidney
NCBI709,human,kidney
NCBI708,human,kidney
NCBI707,human,kidney
NCBI706,human,kidney
NCBI705,human,kidney
NCBI704,human,kidney
NCBI703,human,kidney
NCBI702,human,kidney
NCBI701,human,kidney
NCBI700,human,kidney
NCBI699,human,kidney
NCBI698,human,kidney
NCBI697,human,kidney
NCBI696,human,kidney
NCBI695,human,kidney
NCBI694,human,kidney
NCBI693,human,kidney
NCBI692,human,kidney
NCBI691,human,uterus
NCBI690,human,uterus
NCBI689,Mus musculus,skin
NCBI688,Mus musculus,skin
NCBI687,Mus musculus,skin
NCBI686,Mus musculus,bowel
NCBI685,Mus musculus,bowel
NCBI684,human,lymph node
NCBI683,human,lymph node
NCBI682,human,lymph node
NCBI681,human,lymph node
NCBI680,Mus musculus,muscle
NCBI675,human,liver
NCBI674,human,liver
NCBI673,human,liver
NCBI672,human,liver
NCBI671,Mus musculus,brain
NCBI670,Mus musculus,brain
NCBI669,Mus musculus,brain
NCBI668,Mus musculus,brain
NCBI667,Mus musculus,brain
NCBI666,Mus musculus,brain
NCBI665,Mus musculus,brain
NCBI664,Mus musculus,brain
NCBI663,Mus musculus,brain
NCBI662,Mus musculus,brain
NCBI661,Mus musculus,brain
NCBI660,Mus musculus,brain
NCBI659,Mus musculus,brain
NCBI658,Mus musculus,brain
NCBI657,human,brain
NCBI656,human,brain
NCBI655,human,brain
NCBI654,human,brain
NCBI653,human,brain
NCBI652,Mus musculus,muscle
NCBI651,Mus musculus,muscle
NCBI650,Mus musculus,muscle
NCBI649,Mus musculus,muscle
NCBI648,Mus musculus,muscle
NCBI647,Mus musculus,muscle
NCBI646,Mus musculus,muscle
NCBI643,human,liver
NCBI642,human,liver
NCBI641,human,brain
NCBI640,human,brain
NCBI639,human,brain
NCBI638,human,brain
NCBI637,human,brain
NCBI636,human,brain
NCBI635,human,brain
NCBI634,human,brain
NCBI633,human,brain
NCBI632,human,brain
NCBI631,human,brain
NCBI630,human,brain
NCBI629,human,brain
NCBI628,human,brain
NCBI627,Mus musculus,liver
NCBI626,Mus musculus,liver
NCBI625,Mus musculus,liver
NCBI624,Mus musculus,liver
NCBI623,Mus musculus,liver
NCBI622,Mus musculus,liver
NCBI621,Mus musculus,liver
NCBI620,Mus musculus,liver
NCBI619,Mus musculus,liver
NCBI618,Mus musculus,liver
NCBI603,human,bladder
NCBI602,human,bladder
NCBI601,human,bladder
NCBI600,human,bladder
NCBI599,human,kidney
NCBI598,Mus musculus,kidney
NCBI597,Mus musculus,kidney
NCBI596,Mus musculus,kidney
NCBI595,human,eye
NCBI594,human,eye
NCBI593,human,eye
NCBI592,human,eye
NCBI591,human,eye
NCBI576,human,uterus
NCBI575,human,uterus
NCBI574,human,uterus
NCBI573,human,uterus
NCBI821,human,uterus
NCBI820,human,uterus
NCBI819,human,uterus
NCBI818,human,uterus
NCBI817,human,uterus
NCBI816,human,uterus
NCBI815,human,uterus
NCBI814,human,uterus
NCBI813,human,uterus
NCBI812,human,uterus
NCBI811,human,uterus
NCBI572,human,pancreas
NCBI571,human,pancreas
NCBI570,human,pancreas
NCBI569,human,pancreas
NCBI568,human,kidney
NCBI567,human,kidney
NCBI566,human,kidney
NCBI565,human,kidney
NCBI564,human,kidney
NCBI563,human,kidney
NCBI562,human,kidney
NCBI543,Mus musculus,heart
NCBI542,Mus musculus,heart
NCBI540,human,kidney
NCBI539,human,kidney
NCBI538,human,kidney
NCBI537,human,lung
NCBI536,human,lung
NCBI535,human,lung
NCBI534,human,lung
NCBI533,Mus musculus,brain
NCBI532,Mus musculus,brain
NCBI531,Mus musculus,brain
NCBI530,Mus musculus,brain
NCBI529,Mus musculus,brain
NCBI528,Mus musculus,brain
NCBI527,Mus musculus,brain
NCBI526,human,skin
NCBI525,human,skin
NCBI524,human,skin
NCBI523,human,skin
NCBI522,human,skin
NCBI521,human,skin
NCBI520,human,skin
NCBI519,human,skin
NCBI518,human,skin
NCBI517,human,skin
NCBI516,human,skin
NCBI515,human,skin
NCBI510,human,skin
NCBI509,human,skin
NCBI508,human,skin
NCBI507,human,skin
NCBI506,human,skin
NCBI505,human,skin
NCBI504,human,skin
NCBI503,human,skin
NCBI498,human,skin
NCBI497,human,skin
NCBI496,human,skin
NCBI495,human,skin
NCBI494,human,skin
NCBI493,human,skin
NCBI492,human,skin
NCBI491,human,skin
NCBI490,human,skin
NCBI489,human,skin
NCBI488,human,skin
NCBI487,human,skin
NCBI486,human,skin
NCBI485,human,skin
NCBI484,human,skin
NCBI483,human,skin
NCBI482,human,skin
NCBI481,human,skin
NCBI480,human,skin
NCBI479,human,skin
NCBI478,human,skin
NCBI477,human,skin
NCBI476,human,skin
NCBI475,human,skin
NCBI474,human,skin
NCBI473,human,skin
NCBI472,human,skin
NCBI471,human,skin
NCBI470,human,skin
NCBI469,human,skin
NCBI468,human,skin
NCBI467,human,skin
NCBI466,human,skin
NCBI465,human,skin
NCBI464,human,skin
NCBI463,human,skin
NCBI462,human,skin
NCBI461,human,skin
NCBI460,human,skin
NCBI452,Mus musculus,spinal cord
NCBI451,Mus musculus,spinal cord
NCBI450,Mus musculus,spinal cord
NCBI449,Mus musculus,spinal cord
NCBI448,Mus musculus,spinal cord
NCBI447,Mus musculus,spinal cord
NCBI446,Mus musculus,spinal cord
NCBI445,Mus musculus,spinal cord
NCBI444,Mus musculus,spinal cord
NCBI443,Mus musculus,spinal cord
NCBI442,Mus musculus,spinal cord
NCBI441,Mus musculus,spinal cord
NCBI440,Mus musculus,spinal cord
NCBI439,Mus musculus,spinal cord
NCBI438,Mus musculus,spinal cord
NCBI437,Mus musculus,spinal cord
NCBI436,Mus musculus,eye
NCBI435,Mus musculus,eye
NCBI434,Mus musculus,eye
NCBI433,Mus musculus,eye
NCBI4,human,cervix
NCBI3,human,cervix
NCBI2,human,cervix
NCBI1,human,cervix
MISC32,human,lung
MISC31,human,lung
MISC30,human,lung
MISC29,human,lung
MISC28,human,lung
MISC27,human,lung
MISC26,human,lung
MISC25,human,lung
MISC24,human,lung
MISC23,human,lung
MISC22,human,lung
MISC21,human,lung
MISC20,human,lung
MISC19,human,lung
MISC18,human,lung
MISC17,human,lung
MISC16,human,lung
MISC15,human,lung
MISC14,human,lung
MISC13,human,lung
MISC12,human,brain
MISC11,human,brain
MISC10,human,brain
MISC9,human,brain
MISC8,human,brain
MISC7,human,brain
MISC6,human,brain
MISC5,human,brain
MISC4,human,brain
MISC3,human,brain
MISC2,human,brain
MISC1,human,brain
